Store,Date,Sales
1,28-05-2013,4995
1,29-05-2013,5784
1,30-05-2013,0
1,31-05-2013,7893
1,01-06-2013,5693
1,02-06-2013,0
1,03-06-2013,5422
1,04-06-2013,5220
1,05-06-2013,5012
1,06-06-2013,4881
1,07-06-2013,4315
1,08-06-2013,4262
1,09-06-2013,0
1,10-06-2013,4291
1,11-06-2013,3784
1,12-06-2013,3563
1,13-06-2013,3661
1,14-06-2013,4150
1,15-06-2013,4766
1,16-06-2013,0
1,17-06-2013,5337
1,18-06-2013,4633
1,19-06-2013,4180
1,20-06-2013,5011
1,21-06-2013,5173
1,22-06-2013,4341
1,23-06-2013,0
1,24-06-2013,3549
1,25-06-2013,4536
1,26-06-2013,3827
1,27-06-2013,3593
1,28-06-2013,4407
1,29-06-2013,5804
1,30-06-2013,0
1,01-07-2013,5614
1,02-07-2013,5868
1,03-07-2013,5875
1,04-07-2013,5701
1,05-07-2013,4986
1,06-07-2013,4090
1,07-07-2013,0
1,08-07-2013,4475
1,09-07-2013,4047
1,10-07-2013,3963
1,11-07-2013,4053
1,12-07-2013,4134
1,13-07-2013,4015
1,14-07-2013,0
1,15-07-2013,6377
1,16-07-2013,5643
1,17-07-2013,4946
1,18-07-2013,4904
1,19-07-2013,4275
1,20-07-2013,4421
1,21-07-2013,0
1,22-07-2013,4149
1,23-07-2013,3937
1,24-07-2013,3849
1,25-07-2013,3502
1,26-07-2013,4221
1,27-07-2013,3352
1,28-07-2013,0
1,29-07-2013,6290
1,30-07-2013,5773
1,31-07-2013,5572
1,01-08-2013,4994
1,02-08-2013,4494
1,03-08-2013,4461
1,04-08-2013,0
1,05-08-2013,4086
1,06-08-2013,3582
1,07-08-2013,4143
1,08-08-2013,3680
1,09-08-2013,3257
1,10-08-2013,3768
1,11-08-2013,0
1,12-08-2013,5326
1,13-08-2013,5299
1,14-08-2013,4724
1,15-08-2013,4575
1,16-08-2013,4552
1,17-08-2013,4078
1,18-08-2013,0
1,19-08-2013,3954
1,20-08-2013,3492
1,21-08-2013,3096
1,22-08-2013,3703
1,23-08-2013,3493
1,24-08-2013,4752
1,25-08-2013,0
1,26-08-2013,5482
1,27-08-2013,5156
1,28-08-2013,4583
1,29-08-2013,4804
1,30-08-2013,5469
1,31-08-2013,5317
1,01-09-2013,0
1,02-09-2013,4195
1,03-09-2013,3928
1,04-09-2013,3343
1,05-09-2013,3883
1,06-09-2013,3836
1,07-09-2013,4663
1,08-09-2013,0
1,09-09-2013,5893
1,10-09-2013,5403
1,11-09-2013,5103
1,12-09-2013,5079
1,13-09-2013,5187
1,14-09-2013,4663
1,15-09-2013,0
1,16-09-2013,4249
1,17-09-2013,3685
1,18-09-2013,3946
1,19-09-2013,3717
1,20-09-2013,3516
1,21-09-2013,3909
1,22-09-2013,0
1,23-09-2013,4770
1,24-09-2013,4274
1,25-09-2013,4212
1,26-09-2013,4481
1,27-09-2013,4669
1,28-09-2013,4175
1,29-09-2013,0
1,30-09-2013,4088
1,01-10-2013,4178
1,02-10-2013,4001
1,03-10-2013,0
1,04-10-2013,5447
1,05-10-2013,5352
1,06-10-2013,0
1,07-10-2013,6004
1,08-10-2013,5452
1,09-10-2013,4957
1,10-10-2013,5286
1,11-10-2013,5896
1,12-10-2013,4954
1,13-10-2013,0
1,14-10-2013,3773
1,15-10-2013,3355
1,16-10-2013,3383
1,17-10-2013,3223
1,18-10-2013,3566
1,19-10-2013,3667
1,20-10-2013,0
1,21-10-2013,5055
1,22-10-2013,4068
1,23-10-2013,4612
1,24-10-2013,4044
1,25-10-2013,4573
1,26-10-2013,4347
1,27-10-2013,0
1,28-10-2013,3557
1,29-10-2013,3737
1,30-10-2013,4119
1,31-10-2013,4035
1,01-11-2013,5471
1,02-11-2013,5233
1,03-11-2013,0
1,04-11-2013,5861
1,05-11-2013,5348
1,06-11-2013,5572
1,07-11-2013,5009
1,08-11-2013,5242
1,09-11-2013,4681
1,10-11-2013,0
1,11-11-2013,4014
1,12-11-2013,4017
1,13-11-2013,3310
1,14-11-2013,3795
1,15-11-2013,4016
1,16-11-2013,5071
1,17-11-2013,0
1,18-11-2013,5927
1,19-11-2013,5143
1,20-11-2013,4936
1,21-11-2013,4623
1,22-11-2013,5058
1,23-11-2013,5297
1,24-11-2013,0
1,25-11-2013,4600
1,26-11-2013,4201
1,27-11-2013,4561
1,28-11-2013,4614
1,29-11-2013,5623
1,30-11-2013,6373
1,01-12-2013,0
1,02-12-2013,6943
1,03-12-2013,6293
1,04-12-2013,5688
1,05-12-2013,5691
1,06-12-2013,6112
1,07-12-2013,5799
1,08-12-2013,0
1,09-12-2013,4462
1,10-12-2013,4228
1,11-12-2013,4301
1,12-12-2013,4074
1,13-12-2013,4703
1,14-12-2013,6119
1,15-12-2013,0
1,16-12-2013,8277
1,17-12-2013,7356
1,18-12-2013,7821
1,19-12-2013,6788
1,20-12-2013,8414
1,21-12-2013,8043
1,22-12-2013,0
1,23-12-2013,9528
1,24-12-2013,3204
1,25-12-2013,0
1,26-12-2013,0
1,27-12-2013,6110
1,28-12-2013,5659
1,29-12-2013,0
1,30-12-2013,7193
1,31-12-2013,2362
1,01-01-2014,0
1,02-01-2014,4969
1,03-01-2014,4190
1,04-01-2014,5173
1,05-01-2014,0
1,06-01-2014,6194
1,07-01-2014,5539
1,08-01-2014,4931
1,09-01-2014,4396
1,10-01-2014,4486
1,11-01-2014,4454
1,12-01-2014,0
1,13-01-2014,3994
1,14-01-2014,3621
1,15-01-2014,3776
1,16-01-2014,3632
1,17-01-2014,3803
1,18-01-2014,5128
1,19-01-2014,0
1,20-01-2014,6148
1,21-01-2014,5151
1,22-01-2014,4562
1,23-01-2014,4597
1,24-01-2014,5098
1,25-01-2014,4546
1,26-01-2014,0
1,27-01-2014,3601
1,28-01-2014,3581
1,29-01-2014,3789
1,30-01-2014,4549
1,31-01-2014,4906
1,01-02-2014,5292
1,02-02-2014,0
1,03-02-2014,5839
1,04-02-2014,5540
1,05-02-2014,5031
1,06-02-2014,4823
1,07-02-2014,5596
1,08-02-2014,4726
1,09-02-2014,0
1,10-02-2014,3591
1,11-02-2014,3461
1,12-02-2014,3662
1,13-02-2014,3638
1,14-02-2014,4647
1,15-02-2014,5258
1,16-02-2014,0
1,17-02-2014,5393
1,18-02-2014,4602
1,19-02-2014,4935
1,20-02-2014,4563
1,21-02-2014,4727
1,22-02-2014,4820
1,23-02-2014,0
1,24-02-2014,3826
1,25-02-2014,3499
1,26-02-2014,4108
1,27-02-2014,3826
1,28-02-2014,5031
1,01-03-2014,5307
1,02-03-2014,0
1,03-03-2014,6198
1,04-03-2014,5397
1,05-03-2014,4916
1,06-03-2014,4585
1,07-03-2014,5340
1,08-03-2014,4400
1,09-03-2014,0
1,10-03-2014,3573
1,11-03-2014,3588
1,12-03-2014,3805
1,13-03-2014,3224
1,14-03-2014,3883
1,15-03-2014,5042
1,16-03-2014,0
1,17-03-2014,5563
1,18-03-2014,5200
1,19-03-2014,4036
1,20-03-2014,4023
1,21-03-2014,4510
1,22-03-2014,5241
1,23-03-2014,0
1,24-03-2014,3850
1,25-03-2014,3136
1,26-03-2014,3225
1,27-03-2014,3847
1,28-03-2014,3987
1,29-03-2014,4583
1,30-03-2014,0
1,31-03-2014,6008
1,01-04-2014,5407
1,02-04-2014,4834
1,03-04-2014,4556
1,04-04-2014,4738
1,05-04-2014,4599
1,06-04-2014,0
1,07-04-2014,3751
1,08-04-2014,3990
1,09-04-2014,3919
1,10-04-2014,3948
1,11-04-2014,3733
1,12-04-2014,4435
1,13-04-2014,0
1,14-04-2014,6803
1,15-04-2014,6196
1,16-04-2014,6381
1,17-04-2014,6160
1,18-04-2014,0
1,19-04-2014,5871
1,20-04-2014,0
1,21-04-2014,0
1,22-04-2014,4133
1,23-04-2014,3482
1,24-04-2014,3376
1,25-04-2014,3710
1,26-04-2014,3989
1,27-04-2014,0
1,28-04-2014,5488
1,29-04-2014,5923
1,30-04-2014,5870
1,01-05-2014,0
1,02-05-2014,6790
1,03-05-2014,5498
1,04-05-2014,0
1,05-05-2014,5325
1,06-05-2014,5055
1,07-05-2014,5075
1,08-05-2014,5222
1,09-05-2014,5237
1,10-05-2014,5996
1,11-05-2014,0
1,12-05-2014,3957
1,13-05-2014,3535
1,14-05-2014,3710
1,15-05-2014,3589
1,16-05-2014,3863
1,17-05-2014,3785
1,18-05-2014,0
1,19-05-2014,5637
1,20-05-2014,4909
1,21-05-2014,4298
1,22-05-2014,3801
1,23-05-2014,4968
1,24-05-2014,4574
1,25-05-2014,0
1,26-05-2014,3912
1,27-05-2014,3971
1,28-05-2014,4616
1,29-05-2014,0
1,30-05-2014,5407
1,31-05-2014,4985
1,01-06-2014,0
1,02-06-2014,6071
1,03-06-2014,5614
1,04-06-2014,5229
1,05-06-2014,5278
1,06-06-2014,4957
1,07-06-2014,4923
1,08-06-2014,0
1,09-06-2014,0
1,10-06-2014,4607
1,11-06-2014,4207
1,12-06-2014,3702
1,13-06-2014,3901
1,14-06-2014,4757
1,15-06-2014,0
1,16-06-2014,4788
1,17-06-2014,5770
1,18-06-2014,5256
1,19-06-2014,0
1,20-06-2014,6362
1,21-06-2014,3982
1,22-06-2014,0
1,23-06-2014,3755
1,24-06-2014,3351
1,25-06-2014,3727
1,26-06-2014,2749
1,27-06-2014,4019
1,28-06-2014,5162
1,29-06-2014,0
1,30-06-2014,5738
1,01-07-2014,5138
1,02-07-2014,5161
1,03-07-2014,4756
1,04-07-2014,4025
1,05-07-2014,5176
1,06-07-2014,0
1,07-07-2014,4223
1,08-07-2014,4081
1,09-07-2014,3547
1,10-07-2014,3741
1,11-07-2014,4020
1,12-07-2014,4409
1,13-07-2014,0
1,14-07-2014,5083
1,15-07-2014,5298
1,16-07-2014,5424
1,17-07-2014,4685
1,18-07-2014,4609
1,19-07-2014,4084
1,20-07-2014,0
1,21-07-2014,4507
1,22-07-2014,3933
1,23-07-2014,3806
1,24-07-2014,3557
1,25-07-2014,3858
1,26-07-2014,4266
1,27-07-2014,0
1,28-07-2014,5372
1,29-07-2014,5252
1,30-07-2014,5487
1,31-07-2014,5106
1,01-08-2014,5038
1,02-08-2014,4731
1,03-08-2014,0
1,04-08-2014,5655
1,05-08-2014,5433
1,06-08-2014,5337
1,07-08-2014,4154
1,08-08-2014,4451
1,09-08-2014,4174
1,10-08-2014,0
1,11-08-2014,3886
1,12-08-2014,3185
1,13-08-2014,4069
1,14-08-2014,3906
1,15-08-2014,3746
1,16-08-2014,4425
1,17-08-2014,0
1,18-08-2014,5623
1,19-08-2014,5190
1,20-08-2014,4280
1,21-08-2014,4327
1,22-08-2014,3971
1,23-08-2014,3582
1,24-08-2014,0
1,25-08-2014,3414
1,26-08-2014,3396
1,27-08-2014,3148
1,28-08-2014,3920
1,29-08-2014,3869
1,30-08-2014,4094
1,31-08-2014,0
1,01-09-2014,5464
1,02-09-2014,5008
1,03-09-2014,4978
1,04-09-2014,4346
1,05-09-2014,4706
1,06-09-2014,3959
1,07-09-2014,0
1,08-09-2014,3676
1,09-09-2014,3377
1,10-09-2014,3275
1,11-09-2014,3392
1,12-09-2014,3906
1,13-09-2014,4270
1,14-09-2014,0
1,15-09-2014,4611
1,16-09-2014,4381
1,17-09-2014,4383
1,18-09-2014,3740
1,19-09-2014,4128
1,20-09-2014,3911
1,21-09-2014,0
1,22-09-2014,3982
1,23-09-2014,3407
1,24-09-2014,3405
1,25-09-2014,2462
1,26-09-2014,3518
1,27-09-2014,3914
1,28-09-2014,0
1,29-09-2014,5280
1,30-09-2014,4919
1,01-10-2014,4712
1,02-10-2014,5400
1,03-10-2014,0
1,04-10-2014,5355
1,05-10-2014,0
1,06-10-2014,5402
1,07-10-2014,5439
1,08-10-2014,4944
1,09-10-2014,4654
1,10-10-2014,4396
1,11-10-2014,4743
1,12-10-2014,0
1,13-10-2014,4033
1,14-10-2014,3681
1,15-10-2014,3775
1,16-10-2014,3430
1,17-10-2014,3720
1,18-10-2014,4169
1,19-10-2014,0
1,20-10-2014,4652
1,21-10-2014,4678
1,22-10-2014,4868
1,23-10-2014,4466
1,24-10-2014,4196
1,25-10-2014,4596
1,26-10-2014,0
1,27-10-2014,4260
1,28-10-2014,3364
1,29-10-2014,3761
1,30-10-2014,4042
1,31-10-2014,4161
1,01-11-2014,6532
1,02-11-2014,0
1,03-11-2014,5857
1,04-11-2014,5253
1,05-11-2014,4838
1,06-11-2014,4785
1,07-11-2014,5220
1,08-11-2014,4720
1,09-11-2014,0
1,10-11-2014,5474
1,11-11-2014,4479
1,12-11-2014,4677
1,13-11-2014,3869
1,14-11-2014,5334
1,15-11-2014,4967
1,16-11-2014,0
1,17-11-2014,3582
1,18-11-2014,3890
1,19-11-2014,3894
1,20-11-2014,4963
1,21-11-2014,4594
1,22-11-2014,5849
1,23-11-2014,0
1,24-11-2014,6527
1,25-11-2014,5815
1,26-11-2014,5328
1,27-11-2014,6144
1,28-11-2014,7195
1,29-11-2014,7066
1,30-11-2014,0
1,01-12-2014,7380
1,02-12-2014,6467
1,03-12-2014,6454
1,04-12-2014,7016
1,05-12-2014,6207
1,06-12-2014,6185
1,07-12-2014,0
1,08-12-2014,4884
1,09-12-2014,4345
1,10-12-2014,4915
1,11-12-2014,5060
1,12-12-2014,5269
1,13-12-2014,7263
1,14-12-2014,0
1,15-12-2014,8069
1,16-12-2014,7739
1,17-12-2014,7523
1,18-12-2014,7785
1,19-12-2014,7558
1,20-12-2014,8367
1,21-12-2014,0
1,22-12-2014,9331
1,23-12-2014,7959
1,24-12-2014,3659
1,25-12-2014,0
1,26-12-2014,0
1,27-12-2014,6057
1,28-12-2014,0
1,29-12-2014,6463
1,30-12-2014,6466
1,31-12-2014,2605
1,01-01-2015,0
1,02-01-2015,5509
1,03-01-2015,5023
1,04-01-2015,0
1,05-01-2015,6239
1,06-01-2015,4574
1,07-01-2015,4796
1,08-01-2015,3716
1,09-01-2015,3998
1,10-01-2015,4599
1,11-01-2015,0
1,12-01-2015,5346
1,13-01-2015,4924
1,14-01-2015,4541
1,15-01-2015,4295
1,16-01-2015,4161
1,17-01-2015,5255
1,18-01-2015,0
1,19-01-2015,3721
1,20-01-2015,3680
1,21-01-2015,3299
1,22-01-2015,3492
1,23-01-2015,3586
1,24-01-2015,4840
1,25-01-2015,0
1,26-01-2015,4781
1,27-01-2015,4806
1,28-01-2015,4310
1,29-01-2015,5171
1,30-01-2015,5577
1,31-01-2015,5363
1,01-02-2015,0
1,02-02-2015,6038
1,03-02-2015,4901
1,04-02-2015,4672
1,05-02-2015,4394
1,06-02-2015,5022
1,07-02-2015,4663
1,08-02-2015,0
1,09-02-2015,3965
1,10-02-2015,3136
1,11-02-2015,3735
1,12-02-2015,3900
1,13-02-2015,4726
1,14-02-2015,5015
1,15-02-2015,0
1,16-02-2015,4303
1,17-02-2015,4833
1,18-02-2015,4180
1,19-02-2015,4460
1,20-02-2015,4651
1,21-02-2015,4475
1,22-02-2015,0
1,23-02-2015,3598
1,24-02-2015,4054
1,25-02-2015,3875
1,26-02-2015,4042
1,27-02-2015,4708
1,28-02-2015,5289
1,01-03-2015,0
1,02-03-2015,5942
1,03-03-2015,5451
1,04-03-2015,5568
1,05-03-2015,4419
1,06-03-2015,5397
1,07-03-2015,4592
1,08-03-2015,0
1,09-03-2015,3701
1,10-03-2015,3805
1,11-03-2015,4170
1,12-03-2015,3141
1,13-03-2015,3725
1,14-03-2015,5225
1,15-03-2015,0
1,16-03-2015,5695
1,17-03-2015,4806
1,18-03-2015,3858
1,19-03-2015,4748
1,20-03-2015,4057
1,21-03-2015,3909
1,22-03-2015,0
1,23-03-2015,3565
1,24-03-2015,3547
1,25-03-2015,3531
1,26-03-2015,3932
1,27-03-2015,4005
1,28-03-2015,5208
1,29-03-2015,0
1,30-03-2015,6714
1,31-03-2015,6206
1,01-04-2015,6816
1,02-04-2015,6574
1,03-04-2015,0
1,04-04-2015,6709
1,05-04-2015,0
1,06-04-2015,0
1,07-04-2015,4163
1,08-04-2015,4194
1,09-04-2015,3467
1,10-04-2015,3549
1,11-04-2015,4173
1,12-04-2015,0
1,13-04-2015,5377
1,14-04-2015,4648
1,15-04-2015,4110
1,16-04-2015,4116
1,17-04-2015,4718
1,18-04-2015,4594
1,19-04-2015,0
1,20-04-2015,3722
1,21-04-2015,3037
1,22-04-2015,3319
1,23-04-2015,3076
1,24-04-2015,3198
1,25-04-2015,4318
1,26-04-2015,0
1,27-04-2015,5575
1,28-04-2015,5199
1,29-04-2015,5775
1,30-04-2015,6228
1,01-05-2015,0
1,02-05-2015,5850
1,03-05-2015,0
1,04-05-2015,5591
1,05-05-2015,4564
1,06-05-2015,4960
1,07-05-2015,4529
1,08-05-2015,4683
1,09-05-2015,4945
1,10-05-2015,0
1,11-05-2015,3551
1,12-05-2015,3547
1,13-05-2015,3998
1,14-05-2015,0
1,15-05-2015,4178
1,16-05-2015,4431
1,17-05-2015,0
1,18-05-2015,5280
1,19-05-2015,5235
1,20-05-2015,4735
1,21-05-2015,3755
1,22-05-2015,4459
1,23-05-2015,4276
1,24-05-2015,0
1,25-05-2015,0
1,26-05-2015,4211
1,27-05-2015,4083
1,28-05-2015,4111
1,29-05-2015,4656
1,30-05-2015,5592
1,31-05-2015,0
1,01-06-2015,5774
1,02-06-2015,5450
1,03-06-2015,5809
1,04-06-2015,0
1,05-06-2015,5384
1,06-06-2015,4183
1,07-06-2015,0
1,08-06-2015,4071
1,09-06-2015,4102
1,10-06-2015,3591
1,11-06-2015,3627
1,12-06-2015,3695
1,13-06-2015,4256
1,14-06-2015,0
1,15-06-2015,5518
1,16-06-2015,4852
1,17-06-2015,4000
1,18-06-2015,4645
1,19-06-2015,4202
1,20-06-2015,4097
1,21-06-2015,0
1,22-06-2015,3846
1,23-06-2015,3762
1,24-06-2015,3346
1,25-06-2015,3533
1,26-06-2015,3317
1,27-06-2015,4019
1,28-06-2015,0
1,29-06-2015,5197
1,30-06-2015,5735
1,01-07-2015,5223
1,02-07-2015,5558
1,03-07-2015,4665
1,04-07-2015,4797
1,05-07-2015,0
1,06-07-2015,4359
1,07-07-2015,3650
1,08-07-2015,3797
1,09-07-2015,3897
1,10-07-2015,3808
1,11-07-2015,3530
1,12-07-2015,0
1,13-07-2015,5054
1,14-07-2015,5042
1,15-07-2015,4767
1,16-07-2015,4427
1,17-07-2015,4852
1,18-07-2015,4406
1,19-07-2015,0
1,20-07-2015,4395
1,21-07-2015,3558
1,22-07-2015,3464
1,23-07-2015,3769
1,24-07-2015,3706
1,25-07-2015,4364
1,26-07-2015,0
1,27-07-2015,6102
1,28-07-2015,5011
1,29-07-2015,4782
1,30-07-2015,5020
1,31-07-2015,5263
